"Id-offerta","CIG","oggetto-offerta","data-contratto-offerta","importo-offerta","offerente","data-ricezione-offerta"
"22554","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1435492.88","NEI RESTAURO E COSTRUZIONI SRL","2012-12-11"
"22555","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)","2014-03-20","1339547.43","Perillo Costruzioni Generali","2012-12-11"
"22558","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1356324.28","RCR Edilizia","2012-12-11"
"22559","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"RE.CO. Restauro e Conservazione con socio unico","2012-12-11"
"22560","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1306262.72","Research Consorzio","2012-12-11"
"22562","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1329995.8","S.A.V.A. & C. Società Anonima Vendita Appartamenti e Costruzioni S.r.l.","2012-12-11"
"22563","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1342247.32","SAMOA RESTAURI SRL","2012-12-11"
"22564","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1361309.48","SO.GE.CO. Srl","2012-12-11"
"22565","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1330156.27","Sogem","2012-12-11"
"22566","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"VALORI S.C.A R.L. - CONSORZIO STABILE","2012-12-11"
"22567","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1349138.22","VELLA SALVATORE","2012-12-11"
"22569","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"VINCENZO MODUGNO SRL","2012-12-11"
"22570","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1261505.57","VITALE COSTRUZIONI S.P.A.","2012-12-11"
"28627","ZB20A0B176","Realizzazione del Convegno ""Moenia e Urbs""","2013-06-03","15360","Andromeda s.r.l.","2013-05-30"
"28628","ZB20A0B176","Realizzazione del Convegno ""Moenia e Urbs""",,"17295","EFFE ERRE Congressi","2013-05-30"
"28981","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"843065.31","Ronga","2012-09-04"
"28982","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"870805.01","DRD COSTRUZIONI S.R.L.","2012-09-04"
"28984","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"733592.73","Iota Restauro","2012-09-05"
"28985","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"819263.04","Arkaikos Restauri","2012-09-05"
"28986","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"706330.42","Lucci Salvatore Impresa di Costruzioni","2012-09-05"
"28987","4106680B88","Lavori di consolidamento e restauro delle strutture della Casa di Sirico",,"663409.23","DELL'ACQUA COSTRUZIONI GENERALI s.r.l.","2012-09-05"
